class,distance_bin,gt_count,matched_count,recall,mean_score
all,0-20m,1513,1151,0.7607402511566425,0.6393121418799658
all,20-40m,1967,1180,0.5998983223182511,0.5374278675196534
all,40-50m,461,123,0.2668112798264642,0.42648796167800096
car,0-20m,703,660,0.9388335704125178,0.7788966901826136
car,20-40m,1259,886,0.7037331215250199,0.5729175042823529
car,40-50m,288,77,0.2673611111111111,0.43268523626513294
pedestrian,0-20m,592,375,0.6334459459459459,0.40438146177927653
pedestrian,20-40m,514,227,0.44163424124513617,0.37261337370074266
pedestrian,40-50m,129,37,0.2868217054263566,0.3489464754993851
truck,0-20m,37,32,0.8648648648648649,0.734084689989686
truck,20-40m,40,30,0.75,0.6110694974660873
truck,40-50m,18,5,0.2777777777777778,0.46621163487434386
bus,0-20m,16,16,1.0,0.9023132920265198
bus,20-40m,13,13,1.0,0.9601512184509864
bus,40-50m,4,4,1.0,0.9747945815324783
motorcycle,0-20m,115,55,0.4782608695652174,0.48338114510882985
motorcycle,20-40m,108,20,0.18518518518518517,0.4491774722933769
motorcycle,40-50m,20,0,0.0,nan
bicycle,0-20m,16,7,0.4375,0.4906936926501138
bicycle,20-40m,28,4,0.14285714285714285,0.5447847098112106
bicycle,40-50m,2,0,0.0,nan
