instance_token,class,scene,matched_frames,unique_track_ids,id_switches
3b19bb63d0924f4da3034819357d6c8b,pedestrian,scene-0103,7,1,0
f1010738ac3a4f56b936fa3a077571b5,pedestrian,scene-0103,9,4,3
ead6a822f86c432481c0a9d2e4e4f827,pedestrian,scene-0103,10,1,0
fa107c6dd0dc4d15b94b86cbf5b990c0,pedestrian,scene-0103,11,2,1
c283b224a9984736bff67a2f347866fa,car,scene-0103,9,1,0
99fbf1b9bf474215a4e8ad562bb7e9b2,pedestrian,scene-0103,21,3,2
68a40df2846e4298af0417ea12721b5c,pedestrian,scene-0103,6,1,0
996d9e039f7a4838ac48d5409ca89732,pedestrian,scene-0103,17,5,4
6e71a9ceaf9a4974a1d07a2bd3544506,pedestrian,scene-0103,11,3,5
ff7dc6c94901476e9b5f6198e3b2103f,pedestrian,scene-0103,10,1,0
bc6bc2b076b24fc79ed0517f5747c1cf,pedestrian,scene-0103,11,3,2
c34cb46c7be6486a85ee49653850b174,pedestrian,scene-0103,28,3,3
200c440c0e9b4627ad4f3047227016a2,car,scene-0103,21,1,0
34aaf645a4174c6c8ff1874e6b33ccf6,pedestrian,scene-0103,14,2,1
bd1c40bd2810476f8d04fd09bdead8ba,pedestrian,scene-0103,2,1,0
72137291381349428afb1038d4e5898c,pedestrian,scene-0103,15,2,1
ad2ae385245f46d49b4d06f87e2ac544,pedestrian,scene-0103,8,6,5
84d4bf98117e477dae6b51bf1bf5c8bb,pedestrian,scene-0103,5,1,0
3620feb00d744241a94855f3a8913a78,car,scene-0103,32,1,0
5d77c275683248658e7564ef24bf63b2,pedestrian,scene-0103,15,5,4
5dd3f11916924b7cb93687c10c7c83b6,pedestrian,scene-0103,2,1,0
d0f5aace57684923b8a44b554b006fb2,car,scene-0103,29,1,0
ab8d210d019b44abae3c4e0eee6ce8ba,pedestrian,scene-0103,7,3,2
b3412553d70f40b3a1d19a0eb8529a08,pedestrian,scene-0103,14,1,0
dc762bf1bc694d3e8141bf592f9b1456,car,scene-0103,15,1,0
c7bb896c68f748c9b735ca9df26435de,car,scene-0103,2,1,0
3c7331d16ac6439e9bd5a57d75976446,pedestrian,scene-0103,7,2,1
dce1fda2d70945c792dcc27074ec6aa9,car,scene-0103,26,1,0
e147a4c07e06487592fb5d6135c27a78,pedestrian,scene-0103,24,1,0
63e58aab316d4496841c2b17d909a033,pedestrian,scene-0103,1,1,0
c6439c068e7045898c3a4ef0a96dea45,pedestrian,scene-0103,1,1,0
045cd82a77a1472499e8c15100cb5ff3,car,scene-0103,25,1,0
09810748e6c04aacb393ebf14fafa5e8,pedestrian,scene-0103,18,1,0
eaaf60765ee8478f8e0bd4942571c6fb,car,scene-0103,23,1,0
0809d64df9264121bead0772ee9b5984,pedestrian,scene-0103,13,2,1
2ef4b4d20b064d34b754f68e48f5a5c2,car,scene-0103,22,1,0
06ff24b7f1e8479b934f1b74348028bc,car,scene-0103,25,1,0
6346de1c47584b34833d6df500d2ed6c,car,scene-0103,17,1,0
4ce8f37952ad4203b1f5b23c728fb2e6,pedestrian,scene-0103,11,2,1
c1fe224b76cc49e294847788c443e470,pedestrian,scene-0103,12,2,1
9e5f09bc19cd473dae219194ada64f3d,car,scene-0103,10,2,1
f4af7fd215ee47aa8b64bac0443d7be8,car,scene-0103,8,1,0
e73ba8faf67d40c8b6b653489393ef8b,car,scene-0103,16,1,0
a6ca1e8c4eee458cb4981e02f58c954f,car,scene-0103,5,1,0
713b6bedc51f4d1b9802a13aec39aaf3,car,scene-0103,12,2,2
