class,distance_bin,objects,mean_points,median_points,detected_mean_points,missed_mean_points,recall
all,0-20m,1513,115.81824190350298,29.0,144.01303214596004,26.171270718232044,0.7607402511566425
all,20-40m,1967,9.567361464158617,4.0,14.087288135593221,2.790343074968234,0.5998983223182511
all,40-50m,461,2.685466377440347,1.0,5.032520325203252,1.831360946745562,0.2668112798264642
car,0-20m,703,188.8307254623044,76.0,200.55454545454546,8.883720930232558,0.9388335704125178
car,20-40m,1259,9.31294678316124,6.0,12.48081264108352,1.7882037533512065,0.7037331215250199
car,40-50m,288,1.8715277777777777,1.0,3.909090909090909,1.127962085308057,0.2673611111111111
pedestrian,0-20m,592,20.18412162162162,13.0,20.573333333333334,19.51152073732719,0.6334459459459459
pedestrian,20-40m,514,3.688715953307393,3.0,4.28193832599119,3.2195121951219514,0.44163424124513617
pedestrian,40-50m,129,1.6589147286821706,2.0,2.054054054054054,1.5,0.2868217054263566
truck,0-20m,37,543.8648648648649,496.0,539.1875,573.8,0.8648648648648649
truck,20-40m,40,54.725,47.0,64.13333333333334,26.5,0.75
truck,40-50m,18,15.777777777777779,15.0,12.4,17.076923076923077,0.2777777777777778
bus,0-20m,16,393.8125,370.0,393.8125,nan,1.0
bus,20-40m,13,193.6153846153846,224.0,193.6153846153846,nan,1.0
bus,40-50m,4,45.0,45.0,45.0,nan,1.0
motorcycle,0-20m,115,29.391304347826086,19.0,33.14545454545455,25.95,0.4782608695652174
motorcycle,20-40m,108,3.7777777777777777,3.0,6.15,3.2386363636363638,0.18518518518518517
motorcycle,40-50m,20,0.75,1.0,nan,0.75,0.0
bicycle,0-20m,16,33.1875,19.5,40.285714285714285,27.666666666666668,0.4375
bicycle,20-40m,28,2.857142857142857,2.0,7.25,2.125,0.14285714285714285
bicycle,40-50m,2,3.0,3.0,nan,3.0,0.0
