frame,sample_token,ann_token,class,camera_hit,lidar_hit,fusion_union_hit,both_hit
0,3e8750f331d7499e9b5123e9eb70f2e2,c0571ecf3f9a461db18a70f9a6883e4f,pedestrian,0,0,0,0
0,3e8750f331d7499e9b5123e9eb70f2e2,7381b60a2a9147518294969bf78412ec,pedestrian,1,1,1,1
0,3e8750f331d7499e9b5123e9eb70f2e2,cfc30e8bba1d43b3a32e8292adc4e7fc,pedestrian,1,0,1,0
0,3e8750f331d7499e9b5123e9eb70f2e2,aac73ca93415480bace117bd91ff1030,car,1,0,1,0
0,3e8750f331d7499e9b5123e9eb70f2e2,7603b030b42a4b1caa8c443ccc1a7d52,pedestrian,0,1,1,0
0,3e8750f331d7499e9b5123e9eb70f2e2,0fa89bf4cb7b4a0a9ea2b00b1e66621f,pedestrian,1,0,1,0
0,3e8750f331d7499e9b5123e9eb70f2e2,a094511594c64d46bf8ed93e5ea894cf,pedestrian,0,0,0,0
0,3e8750f331d7499e9b5123e9eb70f2e2,c62ea4d22c154123acebe8b12b57c2d7,pedestrian,0,0,0,0
0,3e8750f331d7499e9b5123e9eb70f2e2,5d26fc16931b410897dc379865a39ed4,pedestrian,1,1,1,1
0,3e8750f331d7499e9b5123e9eb70f2e2,a977de149680431ca2c0c462132db5e2,car,1,0,1,0
0,3e8750f331d7499e9b5123e9eb70f2e2,6eb36da411e94447978f45dd93d72e3d,pedestrian,0,0,0,0
0,3e8750f331d7499e9b5123e9eb70f2e2,7281c1d5d94740de8a9dfd73143b19df,pedestrian,0,0,0,0
0,3e8750f331d7499e9b5123e9eb70f2e2,87cb8197fbe84a1f9c6d9a25b5f854b7,pedestrian,0,0,0,0
0,3e8750f331d7499e9b5123e9eb70f2e2,b79ed739e23c47acb269731412eeeace,pedestrian,0,0,0,0
1,3950bd41f74548429c0f7700ff3d8269,d08b8c6ecc6b4824aa890ffac8a288a8,pedestrian,0,1,1,0
1,3950bd41f74548429c0f7700ff3d8269,9c2cd11180d143b78963ffc0d638af46,pedestrian,1,0,1,0
1,3950bd41f74548429c0f7700ff3d8269,07a89c2afaab440a9ed3b830fc674b62,pedestrian,0,0,0,0
1,3950bd41f74548429c0f7700ff3d8269,723a16467b2d4ac2bc8d2052c908a858,pedestrian,0,1,1,0
1,3950bd41f74548429c0f7700ff3d8269,d9a78a045f674ac0bb97a3c108821a76,car,1,1,1,1
1,3950bd41f74548429c0f7700ff3d8269,71cbaa6a12454e6f829e96497ab5a14e,car,0,0,0,0
1,3950bd41f74548429c0f7700ff3d8269,c49da4edbb4147dba37507ca4e8ce982,pedestrian,0,1,1,0
1,3950bd41f74548429c0f7700ff3d8269,ba34282cc56e43b38d9666a8195e8664,pedestrian,1,0,1,0
